name,first_publication_year,career_stage,gender,orcid_id,year,times_cited,coauthor_M,coauthor_F,coauthor_count,coauthor_country,group
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,0,8,3,20,{'United States': 20},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,43,8,2,21,{'United States': 27},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2017,34,2,1,4,{'United States': 4},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2017,24,1,3,5,{'United States': 5},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2017,68,6,0,9,{'United States': 15},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2017,33,3,2,9,{'United States': 9},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,0,12,7,20,{'United States': 16},Control
Niranjan Vijayakumar,2019.0,Early,M,0000-0002-6529-7779,2023,2,8,7,25,{'United States': 53},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,7,1,8,{'Japan': 8},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,3,9,2,11,"{'Japan': 11, 'United States': 1}",Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,7,0,7,{},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,10,0,10,{},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,10,0,10,{},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,10,0,10,{},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,1,8,2,10,{'Japan': 10},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,7,2,2,8,"{'United States': 7, 'Japan': 1}",Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2023,0,2,2,8,{'Japan': 1},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2017,0,15,1,16,{'Japan': 16},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2017,2,7,0,7,{'Japan': 8},Control
Masayasu Horibe,2011.0,Mid,M,0000-0001-9453-1571,2017,0,12,1,13,{'Japan': 13},Control
